Start the ALNS algorithm 
Iteration: 1, combined_action: 2, new_cost: 102318.91557145122, current_cost: 96216.95680783698, global_best_cost: 96216.95680783698, NoImprove: 1, elapsed_time: 18.09 seconds
Iteration: 2, combined_action: 12, new_cost: 97291.8484118044, current_cost: 97291.8484118044, global_best_cost: 96216.95680783698, NoImprove: 2, elapsed_time: 18.52 seconds
Iteration: 3, combined_action: 14, new_cost: 116297.57343428154, current_cost: 97291.8484118044, global_best_cost: 96216.95680783698, NoImprove: 3, elapsed_time: 18.96 seconds
Iteration: 4, combined_action: 8, new_cost: 102339.24694914979, current_cost: 97291.8484118044, global_best_cost: 96216.95680783698, NoImprove: 4, elapsed_time: 19.39 seconds
Iteration: 5, combined_action: 6, new_cost: 122190.3563667474, current_cost: 97291.8484118044, global_best_cost: 96216.95680783698, NoImprove: 5, elapsed_time: 19.83 seconds
Iteration: 6, combined_action: 13, new_cost: 102940.3744676266, current_cost: 97291.8484118044, global_best_cost: 96216.95680783698, NoImprove: 6, elapsed_time: 20.26 seconds
Iteration: 7, combined_action: 2, new_cost: 100741.08952012016, current_cost: 97291.8484118044, global_best_cost: 96216.95680783698, NoImprove: 7, elapsed_time: 20.72 seconds
Iteration: 8, combined_action: 9, new_cost: 96933.40907366532, current_cost: 96933.40907366532, global_best_cost: 96216.95680783698, NoImprove: 8, elapsed_time: 21.16 seconds
Iteration: 9, combined_action: 6, new_cost: 113255.88161433657, current_cost: 96933.40907366532, global_best_cost: 96216.95680783698, NoImprove: 9, elapsed_time: 21.61 seconds
Iteration: 10, combined_action: 1, new_cost: 96385.43253507906, current_cost: 96385.43253507906, global_best_cost: 96216.95680783698, NoImprove: 10, elapsed_time: 22.05 seconds
Iteration: 11, combined_action: 4, new_cost: 101952.27582368276, current_cost: 96385.43253507906, global_best_cost: 96216.95680783698, NoImprove: 11, elapsed_time: 22.51 seconds
Iteration: 12, combined_action: 5, new_cost: 96980.50443221856, current_cost: 96385.43253507906, global_best_cost: 96216.95680783698, NoImprove: 12, elapsed_time: 22.94 seconds
Iteration: 13, combined_action: 7, new_cost: 100113.33874650694, current_cost: 96385.43253507906, global_best_cost: 96216.95680783698, NoImprove: 13, elapsed_time: 23.38 seconds
Iteration: 14, combined_action: 9, new_cost: 96383.75650197318, current_cost: 96383.75650197318, global_best_cost: 96216.95680783698, NoImprove: 14, elapsed_time: 23.85 seconds
Iteration: 15, combined_action: 11, new_cost: 97037.68934756743, current_cost: 96383.75650197318, global_best_cost: 96216.95680783698, NoImprove: 15, elapsed_time: 24.34 seconds
Iteration: 16, combined_action: 11, new_cost: 98817.04279400139, current_cost: 98817.04279400139, global_best_cost: 96216.95680783698, NoImprove: 16, elapsed_time: 24.79 seconds
Iteration: 17, combined_action: 5, new_cost: 96292.09181777402, current_cost: 96292.09181777402, global_best_cost: 96216.95680783698, NoImprove: 17, elapsed_time: 25.24 seconds
Iteration: 18, combined_action: 3, new_cost: 96270.53041963508, current_cost: 96270.53041963508, global_best_cost: 96216.95680783698, NoImprove: 18, elapsed_time: 25.69 seconds
Iteration: 19, combined_action: 8, new_cost: 96270.53041963508, current_cost: 96270.53041963508, global_best_cost: 96216.95680783698, NoImprove: 19, elapsed_time: 26.15 seconds
Iteration: 20, combined_action: 1, new_cost: 96264.58876281804, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 20, elapsed_time: 26.58 seconds
Iteration: 21, combined_action: 10, new_cost: 113833.00818647149, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 21, elapsed_time: 27.02 seconds
Iteration: 22, combined_action: 11, new_cost: 97571.43980250564, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 22, elapsed_time: 27.44 seconds
Iteration: 23, combined_action: 5, new_cost: 97048.92221207231, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 23, elapsed_time: 27.87 seconds
Iteration: 24, combined_action: 2, new_cost: 97988.67820952766, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 24, elapsed_time: 28.31 seconds
Iteration: 25, combined_action: 2, new_cost: 96907.83414910702, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 25, elapsed_time: 28.76 seconds
Iteration: 26, combined_action: 12, new_cost: 109695.39966465936, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 26, elapsed_time: 29.18 seconds
Iteration: 27, combined_action: 13, new_cost: 111391.11886580965, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 27, elapsed_time: 29.61 seconds
Iteration: 28, combined_action: 9, new_cost: 98894.48259032516, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 28, elapsed_time: 30.04 seconds
Iteration: 29, combined_action: 2, new_cost: 97009.80743192715, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 29, elapsed_time: 30.48 seconds
Iteration: 30, combined_action: 5, new_cost: 98550.37945184337, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 30, elapsed_time: 30.91 seconds
Iteration: 31, combined_action: 9, new_cost: 98898.22922477455, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 31, elapsed_time: 31.35 seconds
Iteration: 32, combined_action: 15, new_cost: 100755.86784042114, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 32, elapsed_time: 31.83 seconds
Iteration: 33, combined_action: 13, new_cost: 112005.88540786807, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 33, elapsed_time: 32.29 seconds
Iteration: 34, combined_action: 4, new_cost: 109633.96969356606, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 34, elapsed_time: 32.73 seconds
Iteration: 35, combined_action: 14, new_cost: 100928.23002658976, current_cost: 96264.58876281804, global_best_cost: 96216.95680783698, NoImprove: 35, elapsed_time: 33.18 seconds
