Start the ALNS algorithm 
Iteration: 1, combined_action: 11, new_cost: 8129669.008902514, current_cost: 8115302.055957844, global_best_cost: 8115302.055957844, elapsed_time: 1.72 seconds
Iteration: 2, combined_action: 13, new_cost: 8130917.319060438, current_cost: 8115302.055957844, global_best_cost: 8115302.055957844, elapsed_time: 1.76 seconds
Iteration: 3, combined_action: 1, new_cost: 8114245.090905633, current_cost: 8114245.090905633, global_best_cost: 8114245.090905633, elapsed_time: 1.80 seconds
Iteration: 4, combined_action: 2, new_cost: 8114245.041905633, current_cost: 8114245.041905633, global_best_cost: 8114245.041905633, elapsed_time: 1.86 seconds
Iteration: 5, combined_action: 6, new_cost: 8632313.519997023, current_cost: 8114245.041905633, global_best_cost: 8114245.041905633, elapsed_time: 1.90 seconds
Iteration: 6, combined_action: 5, new_cost: 8115082.399909538, current_cost: 8114245.041905633, global_best_cost: 8114245.041905633, elapsed_time: 1.95 seconds
Iteration: 7, combined_action: 9, new_cost: 8115571.02156553, current_cost: 8114245.041905633, global_best_cost: 8114245.041905633, elapsed_time: 2.00 seconds
Iteration: 8, combined_action: 3, new_cost: 8114269.465846063, current_cost: 8114269.465846063, global_best_cost: 8114245.041905633, elapsed_time: 2.05 seconds
Iteration: 9, combined_action: 11, new_cost: 8114343.80084717, current_cost: 8114343.80084717, global_best_cost: 8114245.041905633, elapsed_time: 2.10 seconds
Iteration: 10, combined_action: 10, new_cost: 8332860.011997031, current_cost: 8114343.80084717, global_best_cost: 8114245.041905633, elapsed_time: 2.15 seconds
Iteration: 11, combined_action: 6, new_cost: 12764307.931050947, current_cost: 8114343.80084717, global_best_cost: 8114245.041905633, elapsed_time: 2.19 seconds
Iteration: 12, combined_action: 13, new_cost: 8124477.072447241, current_cost: 8114343.80084717, global_best_cost: 8114245.041905633, elapsed_time: 2.25 seconds
Iteration: 13, combined_action: 15, new_cost: 9826878.42320605, current_cost: 8114343.80084717, global_best_cost: 8114245.041905633, elapsed_time: 2.29 seconds
Iteration: 14, combined_action: 12, new_cost: 20284934.929578166, current_cost: 8114343.80084717, global_best_cost: 8114245.041905633, elapsed_time: 2.35 seconds
Iteration: 15, combined_action: 2, new_cost: 11332403.712612422, current_cost: 8114343.80084717, global_best_cost: 8114245.041905633, elapsed_time: 2.40 seconds
Iteration: 16, combined_action: 3, new_cost: 8114257.209278105, current_cost: 8114257.209278105, global_best_cost: 8114245.041905633, elapsed_time: 2.45 seconds
Iteration: 17, combined_action: 5, new_cost: 8133727.130182102, current_cost: 8114257.209278105, global_best_cost: 8114245.041905633, elapsed_time: 2.51 seconds
Iteration: 18, combined_action: 0, new_cost: 8114257.209278104, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.55 seconds
Iteration: 19, combined_action: 0, new_cost: 8114257.209278104, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.60 seconds
Iteration: 20, combined_action: 0, new_cost: 8114257.209278104, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.64 seconds
Iteration: 21, combined_action: 0, new_cost: 8114257.209278104, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.69 seconds
Iteration: 22, combined_action: 0, new_cost: 8114257.209278104, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.73 seconds
Iteration: 23, combined_action: 0, new_cost: 8114257.209278104, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.79 seconds
Iteration: 24, combined_action: 7, new_cost: 8129672.442652632, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.83 seconds
Iteration: 25, combined_action: 0, new_cost: 8114257.209278104, current_cost: 8114257.209278104, global_best_cost: 8114245.041905633, elapsed_time: 2.88 seconds
Iteration: 26, combined_action: 0, new_cost: 8114257.276278104, current_cost: 8114257.276278104, global_best_cost: 8114245.041905633, elapsed_time: 2.93 seconds
Iteration: 27, combined_action: 1, new_cost: 8114245.300523569, current_cost: 8114245.300523569, global_best_cost: 8114245.041905633, elapsed_time: 2.98 seconds
Iteration: 28, combined_action: 4, new_cost: 8133766.776319663, current_cost: 8114245.300523569, global_best_cost: 8114245.041905633, elapsed_time: 3.02 seconds
Iteration: 29, combined_action: 11, new_cost: 8116908.971253216, current_cost: 8114245.300523569, global_best_cost: 8114245.041905633, elapsed_time: 3.07 seconds
Iteration: 30, combined_action: 5, new_cost: 8133727.132182103, current_cost: 8114245.300523569, global_best_cost: 8114245.041905633, elapsed_time: 3.12 seconds
Iteration: 31, combined_action: 1, new_cost: 8114245.153192415, current_cost: 8114245.153192415, global_best_cost: 8114245.041905633, elapsed_time: 3.17 seconds
Iteration: 32, combined_action: 6, new_cost: 9696629.527413553, current_cost: 8114245.153192415, global_best_cost: 8114245.041905633, elapsed_time: 3.22 seconds
Iteration: 33, combined_action: 11, new_cost: 8114250.811891837, current_cost: 8114250.811891837, global_best_cost: 8114245.041905633, elapsed_time: 3.27 seconds
Iteration: 34, combined_action: 11, new_cost: 8133727.130182102, current_cost: 8114250.811891837, global_best_cost: 8114245.041905633, elapsed_time: 3.31 seconds
Iteration: 35, combined_action: 4, new_cost: 17931927.678177714, current_cost: 8114250.811891837, global_best_cost: 8114245.041905633, elapsed_time: 3.36 seconds
Iteration: 36, combined_action: 5, new_cost: 8115924.743597337, current_cost: 8114250.811891837, global_best_cost: 8114245.041905633, elapsed_time: 3.42 seconds
Iteration: 37, combined_action: 15, new_cost: 10034485.988172462, current_cost: 8114250.811891837, global_best_cost: 8114245.041905633, elapsed_time: 3.47 seconds
