Start the ALNS algorithm 
Iteration: 1, combined_action: 11, new_cost: 8114245.796702672, current_cost: 8114245.796702672, global_best_cost: 8114245.796702672, elapsed_time: 1.70 seconds
Iteration: 2, combined_action: 9, new_cost: 8114245.106905634, current_cost: 8114245.106905634, global_best_cost: 8114245.106905634, elapsed_time: 1.75 seconds
Iteration: 3, combined_action: 2, new_cost: 8114523.160911536, current_cost: 8114523.160911536, global_best_cost: 8114245.106905634, elapsed_time: 1.79 seconds
Iteration: 4, combined_action: 2, new_cost: 10313620.931796372, current_cost: 8114523.160911536, global_best_cost: 8114245.106905634, elapsed_time: 1.84 seconds
Iteration: 5, combined_action: 4, new_cost: 13224617.771612465, current_cost: 8114523.160911536, global_best_cost: 8114245.106905634, elapsed_time: 1.89 seconds
Iteration: 6, combined_action: 3, new_cost: 8114263.551808231, current_cost: 8114263.551808231, global_best_cost: 8114245.106905634, elapsed_time: 1.95 seconds
Iteration: 7, combined_action: 8, new_cost: 8114263.551808231, current_cost: 8114263.551808231, global_best_cost: 8114245.106905634, elapsed_time: 2.00 seconds
Iteration: 8, combined_action: 8, new_cost: 8114263.551808231, current_cost: 8114263.551808231, global_best_cost: 8114245.106905634, elapsed_time: 2.05 seconds
Iteration: 9, combined_action: 8, new_cost: 8115344.43980044, current_cost: 8114263.551808231, global_best_cost: 8114245.106905634, elapsed_time: 2.09 seconds
Iteration: 10, combined_action: 11, new_cost: 8115082.399909538, current_cost: 8114263.551808231, global_best_cost: 8114245.106905634, elapsed_time: 2.13 seconds
Iteration: 11, combined_action: 5, new_cost: 8131200.821020322, current_cost: 8114263.551808231, global_best_cost: 8114245.106905634, elapsed_time: 2.19 seconds
Iteration: 12, combined_action: 0, new_cost: 8114263.61880823, current_cost: 8114263.61880823, global_best_cost: 8114245.106905634, elapsed_time: 2.26 seconds
Iteration: 13, combined_action: 5, new_cost: 8129673.0258394675, current_cost: 8114263.61880823, global_best_cost: 8114245.106905634, elapsed_time: 2.31 seconds
Iteration: 14, combined_action: 10, new_cost: 8333001.853215963, current_cost: 8114263.61880823, global_best_cost: 8114245.106905634, elapsed_time: 2.35 seconds
Iteration: 15, combined_action: 14, new_cost: 20281980.64224813, current_cost: 8114263.61880823, global_best_cost: 8114245.106905634, elapsed_time: 2.40 seconds
Iteration: 16, combined_action: 2, new_cost: 8114414.494697852, current_cost: 8114414.494697852, global_best_cost: 8114245.106905634, elapsed_time: 2.46 seconds
Iteration: 17, combined_action: 2, new_cost: 8114596.982647833, current_cost: 8114596.982647833, global_best_cost: 8114245.106905634, elapsed_time: 2.51 seconds
Iteration: 18, combined_action: 7, new_cost: 8115924.7405973375, current_cost: 8114596.982647833, global_best_cost: 8114245.106905634, elapsed_time: 2.55 seconds
Iteration: 19, combined_action: 8, new_cost: 8130052.465720824, current_cost: 8114596.982647833, global_best_cost: 8114245.106905634, elapsed_time: 2.60 seconds
