Start the ALNS algorithm 
Iteration: 1, combined_action: 15, new_cost: 357202.8542651159, current_cost: 296645.9642081453, global_best_cost: 296645.9642081453, NoImprove: 1, elapsed_time: 114.41 seconds
Iteration: 2, combined_action: 6, new_cost: 301193.87984280626, current_cost: 296645.9642081453, global_best_cost: 296645.9642081453, NoImprove: 2, elapsed_time: 114.49 seconds
Iteration: 3, combined_action: 1, new_cost: 293154.0672669021, current_cost: 293154.0672669021, global_best_cost: 293154.0672669021, NoImprove: 0, elapsed_time: 114.57 seconds
Iteration: 4, combined_action: 13, new_cost: 296085.07992312446, current_cost: 293154.0672669021, global_best_cost: 293154.0672669021, NoImprove: 1, elapsed_time: 114.67 seconds
Iteration: 5, combined_action: 1, new_cost: 283443.05798949394, current_cost: 283443.05798949394, global_best_cost: 283443.05798949394, NoImprove: 0, elapsed_time: 114.75 seconds
Iteration: 6, combined_action: 5, new_cost: 283492.3784930105, current_cost: 283492.3784930105, global_best_cost: 283443.05798949394, NoImprove: 1, elapsed_time: 114.85 seconds
Iteration: 7, combined_action: 4, new_cost: 283494.24036850873, current_cost: 283494.24036850873, global_best_cost: 283443.05798949394, NoImprove: 2, elapsed_time: 114.95 seconds
Iteration: 8, combined_action: 10, new_cost: 286720.987989494, current_cost: 283494.24036850873, global_best_cost: 283443.05798949394, NoImprove: 3, elapsed_time: 115.03 seconds
Iteration: 9, combined_action: 13, new_cost: 289974.8733579571, current_cost: 283494.24036850873, global_best_cost: 283443.05798949394, NoImprove: 4, elapsed_time: 115.12 seconds
Iteration: 10, combined_action: 0, new_cost: 283443.044989494, current_cost: 283443.044989494, global_best_cost: 283443.044989494, NoImprove: 0, elapsed_time: 115.20 seconds
Iteration: 11, combined_action: 1, new_cost: 283443.05798949394, current_cost: 283443.05798949394, global_best_cost: 283443.044989494, NoImprove: 1, elapsed_time: 115.29 seconds
Iteration: 12, combined_action: 1, new_cost: 283443.061989494, current_cost: 283443.061989494, global_best_cost: 283443.044989494, NoImprove: 2, elapsed_time: 115.38 seconds
Iteration: 13, combined_action: 1, new_cost: 283443.061989494, current_cost: 283443.061989494, global_best_cost: 283443.044989494, NoImprove: 3, elapsed_time: 115.50 seconds
Iteration: 14, combined_action: 1, new_cost: 283443.061989494, current_cost: 283443.061989494, global_best_cost: 283443.044989494, NoImprove: 4, elapsed_time: 115.59 seconds
Iteration: 15, combined_action: 1, new_cost: 283443.145989494, current_cost: 283443.145989494, global_best_cost: 283443.044989494, NoImprove: 5, elapsed_time: 115.68 seconds
Iteration: 16, combined_action: 1, new_cost: 283443.061989494, current_cost: 283443.061989494, global_best_cost: 283443.044989494, NoImprove: 6, elapsed_time: 115.78 seconds
Iteration: 17, combined_action: 1, new_cost: 283443.145989494, current_cost: 283443.145989494, global_best_cost: 283443.044989494, NoImprove: 7, elapsed_time: 115.87 seconds
Iteration: 18, combined_action: 1, new_cost: 283443.061989494, current_cost: 283443.061989494, global_best_cost: 283443.044989494, NoImprove: 8, elapsed_time: 115.97 seconds
Iteration: 19, combined_action: 1, new_cost: 283443.061989494, current_cost: 283443.061989494, global_best_cost: 283443.044989494, NoImprove: 9, elapsed_time: 116.06 seconds
ALNS completed. Global best cost: 283443.044989494, Total time: 116.15 seconds
